$FILENAME single/lemforum/Cunning/cryforme.txt
#MINER 1
#EXPLODER2 0

:geoo/construction/Hatch.H: 560 64
:geoo/construction/Hatch.H: 48 256
:geoo/construction/Hatch.H: 560 256

:geoo/construction/Goal2.G: 32 48

:matt/water.W: 32 368
:matt/water.W: 64 368
:matt/water.W: 96 368
:matt/water.W: 128 368
:matt/water.W: 160 368
:matt/water.W: 192 368
:matt/water.W: 224 368
:matt/water.W: 256 368
:matt/water.W: 352 368
:matt/water.W: 384 368
:matt/water.W: 416 368
:matt/water.W: 448 368
:matt/water.W: 480 368
:matt/water.W: 512 368
:matt/water.W: 544 368
:matt/water.W: 576 368

:matt/goldmine/planksupport2: 0 336
:geoo/steel/32x64o.S: 0 336
:geoo/steel/32x64o.S: 0 272
:geoo/steel/32x64o.S: 0 208
:geoo/steel/32x64o.S: 0 144
:geoo/steel/32x64o.S: 0 80
:geoo/steel/32x64o.S: 0 16
:matt/goldmine/planksupport2: 576 336
:geoo/steel/32x64o.S: 608 336
:geoo/steel/32x64o.S: 608 272
:geoo/steel/32x64o.S: 608 208
:geoo/steel/32x64o.S: 608 144
:geoo/steel/32x64o.S: 608 80
:geoo/steel/32x64o.S: 608 16
:geoo/steel/64x32o.S: 32 304
:geoo/steel/64x32o.S: 96 304
:geoo/steel/64x32o.S: 160 304
:geoo/steel/64x32o.S: 224 304
:geoo/steel/64x32o.S: 288 304
:geoo/steel/64x32o.S: 352 304
:geoo/steel/64x32o.S: 416 304
:geoo/steel/64x32o.S: 480 304
:geoo/steel/64x32o.S: 544 304
:geoo/construction/concrete/064: 288 240
:geoo/construction/concrete/064: 288 176
:geoo/steel/64x32o.S: 32 112
:geoo/steel/64x32o.S: 96 112
:geoo/steel/64x32o.S: 160 112
:geoo/steel/64x32o.S: 416 112
:geoo/steel/64x32o.S: 480 112
:geoo/steel/64x32o.S: 544 112
:geoo/steel/64x32o.S: 288 144
:geoo/steel/16x16o.S: 224 112
:geoo/steel/16x16o.S: 400 112
:geoo/steel/32x16o.S: 0 0
:geoo/construction/concrete/064: 32 8
:geoo/construction/concrete/064: 96 8
:geoo/construction/concrete/064: 160 8
:geoo/construction/concrete/064: 224 8
:geoo/construction/concrete/064: 288 8
:geoo/construction/concrete/064: 352 8
:geoo/construction/concrete/064: 416 8
:geoo/construction/concrete/032vb: 496 40
:geoo/construction/concrete/032vb: 480 8
:geoo/construction/concrete/016vc: 480 72
:geoo/construction/concrete/032hb: 480 72 d
:geoo/steel/32x16o.S: 608 0
:geoo/construction/concrete/032c: 576 8
:matt/goldmine/planksupport2: 256 336
:matt/goldmine/planksupport2: 448 336
:matt/goldmine/planksupport2: 128 336
:matt/goldmine/planksupport2: 320 336
:geoo/construction/concrete/064: 288 336
:geoo/construction/rod_steel/straight32.S: 32 0
:geoo/construction/rod_steel/straight32.S: 64 0
:geoo/construction/rod_steel/straight32.S: 96 0
:geoo/construction/rod_steel/straight32.S: 128 0
:geoo/construction/rod_steel/straight32.S: 160 0
:geoo/construction/rod_steel/straight32.S: 192 0
:geoo/construction/rod_steel/straight32.S: 224 0
:geoo/construction/rod_steel/straight32.S: 256 0
:geoo/construction/rod_steel/straight32.S: 288 0
:geoo/construction/rod_steel/straight32.S: 320 0
:geoo/construction/rod_steel/straight32.S: 352 0
:geoo/construction/rod_steel/straight32.S: 384 0
:geoo/construction/rod_steel/straight32.S: 416 0
:geoo/construction/rod_steel/straight32.S: 448 0
:geoo/construction/rod_steel/straight32.S: 480 0
:geoo/construction/rod_steel/straight32.S: 512 0
:geoo/construction/rod_steel/straight32.S: 544 0
:geoo/construction/rod_steel/straight32.S: 576 0
