$FILENAME single/lemforum/Cunning/drstrangelix.txt
:geoo/sandstone/64x32: 736 176
:geoo/sandstone/64x32: 800 176
:geoo/sandstone/64x32: 864 176
:geoo/sandstone/64x32: 768 144
:geoo/sandstone/64x32: 832 144
:geoo/sandstone/32x32: 736 144
:geoo/sandstone/32x32: 896 144
:geoo/sandstone/64x32: 736 112
:geoo/sandstone/64x32: 800 112
:geoo/sandstone/64x32: 864 112
:geoo/sandstone/64x32: 768 80
:geoo/sandstone/64x32: 832 80
:geoo/sandstone/32x32: 736 80
:geoo/sandstone/32x32: 896 80
:geoo/sandstone/64x32: 736 48
:geoo/sandstone/64x32: 800 48
:geoo/sandstone/64x32: 864 48
:geoo/sandstone/64x32: 768 16
:geoo/sandstone/64x32: 832 16
:geoo/sandstone/32x32: 736 16
:geoo/sandstone/32x32: 896 16
:geoo/steel/dark_32x64o.S: 928 272
:geoo/steel/dark_32x64o.S: 928 336
:geoo/steel/dark_64x32o.S: 960 304
:geoo/steel/dark_64x32o.S: 1024 304
:geoo/steel/dark_32x64o.S: 1056 336
:geoo/sandstone/pillar_top_ext: 1120 288
:geoo/sandstone/pillar_top_ext: 1168 256
:geoo/sandstone/pillar_top: 1136 304
:geoo/sandstone/pillar_top: 1184 272
:geoo/sandstone/pillar_32: 1184 304
:geoo/sandstone/pillar_32: 1136 336
:geoo/sandstone/pillar_32: 1184 336
:geoo/steel/dark_64x32o.S: 1088 368
:geoo/steel/dark_64x32o.S: 1152 368
:geoo/steel/dark_64x32o.S: 1216 368
:geoo/sandstone/ebony/h8a: 1032 32
:geoo/sandstone/ebony/h8b: 1064 32
:geoo/sandstone/ebony/h8c: 1096 32
:geoo/sandstone/ebony/h8a: 1128 32
:geoo/construction/stairsbrick_ru_32: 1200 0
:geoo/construction/stairsbrick_rd_32: 976 0
:geoo/construction/stairsbrick_ru_32: 1056 0
:geoo/construction/stairsbrick_rd_32: 1120 0
:geoo/sandstone/ebony/h8b: 1160 32
:geoo/sandstone/ebony/h8c: 1192 32
:geoo/construction/stairsbrick_rd_32: 1048 40
:geoo/construction/stairsbrick_ru_32: 1128 40
:geoo/sandstone/ebony/h8a: 1096 72
:geoo/sandstone/ebony/h8b: 1128 72
:geoo/sandstone/pillar_top_jaggedr: 1112 80 f
:geoo/sandstone/pillar_32: 400 384
:geoo/sandstone/pillar_32: 592 384
:geoo/sandstone/64x64: 736 208
:geoo/sandstone/64x64: 864 208
