$FILENAME single/geoo/sketchy/hareandtortoise2.txt
:geoo/construction/concrete/016h: 352 144
:geoo/construction/concrete/016h: 384 144
:geoo/construction/concrete/016h: 416 144
:geoo/construction/concrete/008h: 320 136
:geoo/construction/concrete/008h: 336 136
:geoo/construction/concrete/008h: 352 136
:geoo/construction/concrete/008h: 368 136
:geoo/construction/concrete/008h: 384 136
:geoo/construction/concrete/008h: 400 136
:geoo/construction/concrete/008h: 416 136
:geoo/construction/concrete/008h: 432 136
:geoo/construction/concrete/064h: 448 192
:geoo/construction/concrete/032h: 448 160
:geoo/construction/concrete/032h: 512 160
:geoo/construction/concrete/016h: 448 144
:geoo/construction/concrete/016h: 480 144
:geoo/construction/concrete/016h: 512 144
:geoo/construction/concrete/016h: 544 144
:geoo/construction/concrete/008h: 448 136
:geoo/construction/concrete/008h: 464 136
:geoo/construction/concrete/008h: 480 136
:geoo/construction/concrete/008h: 496 136
:geoo/construction/concrete/008h: 512 136
:geoo/construction/concrete/008h: 528 136
:geoo/construction/concrete/008h: 544 136
:geoo/construction/concrete/008h: 560 136
:geoo/construction/concrete/064h: 1088 192
:geoo/construction/concrete/032h: 1088 160
:geoo/construction/concrete/032h: 1152 160
:geoo/construction/concrete/016h: 1088 144
:geoo/construction/concrete/016h: 1120 144
:geoo/construction/concrete/016h: 1152 144
:geoo/construction/concrete/016h: 1184 144
:geoo/construction/concrete/008h: 1088 136
:geoo/construction/concrete/008h: 1104 136
:geoo/construction/concrete/008h: 1120 136
:geoo/construction/concrete/008h: 1136 136
:geoo/construction/concrete/008h: 1152 136
:geoo/construction/concrete/008h: 1168 136
:geoo/construction/concrete/008h: 1184 136
:geoo/construction/concrete/008h: 1200 136
:geoo/construction/concrete/032h: 0 160
:geoo/construction/concrete/016h: 0 144
:geoo/construction/concrete/016h: 32 144
:geoo/construction/concrete/008h: 0 136
:geoo/construction/concrete/008h: 16 136
:geoo/construction/concrete/008h: 32 136
:geoo/construction/concrete/008h: 48 136
:geoo/construction/concrete/064: 0 192
:geoo/construction/concrete/064h: 1216 192
:geoo/construction/concrete/032h: 1216 160
:geoo/construction/concrete/032h: 1280 160
:geoo/construction/concrete/016h: 1216 144
:geoo/construction/concrete/016h: 1248 144
:geoo/construction/concrete/016h: 1280 144
:geoo/construction/concrete/016h: 1312 144
:geoo/construction/concrete/008h: 1216 136
:geoo/construction/concrete/008h: 1232 136
:geoo/construction/concrete/008h: 1248 136
:geoo/construction/concrete/008h: 1264 136
:geoo/construction/concrete/008h: 1280 136
:geoo/construction/concrete/008h: 1296 136
:geoo/construction/concrete/008h: 1312 136
:geoo/construction/concrete/008h: 1328 136
:geoo/construction/concrete/064h: 1344 192
:geoo/construction/concrete/032h: 1344 160
:geoo/construction/concrete/032h: 1408 160
:geoo/construction/concrete/016h: 1344 144
:geoo/construction/concrete/016h: 1376 144
:geoo/construction/concrete/016h: 1408 144
:geoo/construction/concrete/016h: 1440 144
:geoo/construction/concrete/008h: 1344 136
:geoo/construction/concrete/008h: 1360 136
:geoo/construction/concrete/008h: 1376 136
:geoo/construction/concrete/008h: 1392 136
:geoo/construction/concrete/008h: 1408 136
:geoo/construction/concrete/008h: 1424 136
:geoo/construction/concrete/008h: 1440 136
:geoo/construction/concrete/008h: 1456 136
:geoo/construction/concrete/064h: 1472 192
:geoo/construction/concrete/032h: 1472 160
:geoo/construction/concrete/032h: 1536 160
:geoo/construction/concrete/016h: 1472 144
:geoo/construction/concrete/016h: 1504 144
:geoo/construction/concrete/016h: 1536 144
:geoo/construction/concrete/016h: 1568 144
:geoo/construction/concrete/008h: 1472 136
:geoo/construction/concrete/008h: 1488 136
:geoo/construction/concrete/008h: 1504 136
:geoo/construction/concrete/008h: 1520 136
:geoo/construction/concrete/008h: 1536 136
:geoo/construction/concrete/008h: 1552 136
:geoo/construction/concrete/008h: 1568 136
:geoo/construction/concrete/008h: 1584 136
:geoo/construction/concrete/064h: 1600 192
:geoo/construction/concrete/032h: 1600 160
:geoo/construction/concrete/032h: 1664 160
:geoo/construction/concrete/016h: 1600 144
:geoo/construction/concrete/016h: 1632 144
:geoo/construction/concrete/016h: 1664 144
:geoo/construction/concrete/016h: 1696 144
:geoo/construction/concrete/008h: 1600 136
:geoo/construction/concrete/008h: 1616 136
:geoo/construction/concrete/008h: 1632 136
:geoo/construction/concrete/008h: 1648 136
:geoo/construction/concrete/008h: 1664 136
:geoo/construction/concrete/008h: 1680 136
:geoo/construction/concrete/008h: 1696 136
:geoo/construction/concrete/008h: 1712 136
