$FILENAME single/clam/Arcane/beaten-into-shape.txt
:geoo/construction/wall/small_64x64: 0 -16
:geoo/construction/wall/small_64x64: 128 -16
:geoo/construction/wall/small_64x64: 192 -16
:geoo/construction/wall/small_64x64: 256 -16
:geoo/construction/wall/small_64x64: 320 -16
:geoo/construction/wall/small_64x64: 384 -16
:geoo/construction/wall/small_64x64: 448 -16
:geoo/construction/wall/small_64x64: 512 -16
:geoo/construction/wall/small_64x64: 576 -16
:geoo/construction/wall/small_64x64: 64 336
:geoo/construction/wall/small_64x64: 0 336
:geoo/construction/wall/small_64x64: 128 336
:geoo/construction/wall/small_64x64: 192 336
:geoo/construction/wall/small_64x64: 256 336
:geoo/construction/wall/small_64x64: 320 336
:geoo/construction/wall/small_64x64: 384 336
:geoo/construction/wall/small_64x64: 448 336
:geoo/construction/wall/small_64x64: 512 336
:geoo/construction/wall/small_64x64: 576 336
:geoo/construction/pillar_base: 432 112
:geoo/construction/pillar_bottom: 448 160
:geoo/construction/pillar_32: 448 128
:geoo/construction/pillar_base: 112 112
:geoo/construction/pillar_bottom: 128 160
:geoo/construction/pillar_32: 128 128
:geoo/construction/pillar_top_shaded: 128 128
:geoo/construction/pillar_top_shaded: 448 128
:geoo/construction/squarebrick_large: 80 112
:geoo/construction/squarebrick_large: 64 144
