$FILENAME single/clam/Insane/a-step-two-far.txt
:geoo/sandstone/64x16: 144 48
:geoo/sandstone/64x16: 176 64
:geoo/sandstone/64x16: 208 48
:geoo/sandstone/64x16: 160 96
:geoo/sandstone/64x16: 192 80
:geoo/sandstone/64x16: 240 64
:geoo/sandstone/64x16: 272 48
:geoo/sandstone/64x16: 336 48
:geoo/sandstone/pillar_bottom_ext: 576 304
:geoo/sandstone/64x16: 16 368
:geoo/sandstone/64x16: 80 368
:geoo/sandstone/64x16: 144 368
:geoo/sandstone/64x16: 208 368
:geoo/sandstone/64x16: 272 368
:geoo/sandstone/64x16: 336 368
:geoo/sandstone/64x16: 400 368
:geoo/sandstone/64x16: 464 368
:geoo/sandstone/64x16: 528 368
:geoo/sandstone/64x16: 592 368
:geoo/sandstone/64x16: 48 352
:geoo/sandstone/64x16: 112 352
:geoo/sandstone/64x16: 176 352
:geoo/sandstone/64x16: 240 352
:geoo/sandstone/64x16: 304 352
:geoo/sandstone/64x16: 368 352
:geoo/sandstone/64x16: 432 352
:geoo/sandstone/64x16: 496 352
:geoo/sandstone/64x16: 560 352
:geoo/sandstone/64x16: 624 352
:geoo/sandstone/64x16: -16 352
:geoo/sandstone/64x16: 544 336
:geoo/sandstone/64x16: 608 336
:geoo/sandstone/64x16: 576 320
:geoo/sandstone/64x16: 32 384
:geoo/sandstone/64x16: 96 384
:geoo/sandstone/64x16: 160 384
:geoo/sandstone/64x16: 224 384
:geoo/sandstone/64x16: 288 384
:geoo/sandstone/64x16: 352 384
:geoo/sandstone/64x16: 416 384
:geoo/sandstone/64x16: 480 384
:geoo/sandstone/64x16: 544 384
:geoo/sandstone/64x16: 608 384
:geoo/sandstone/64x16: -48 368
:geoo/sandstone/64x16: -32 384
