$FILENAME single/rubix/Pleasant/asoftlanding.txt
:geoo/sandstone/64x32: 688 304
:geoo/sandstone/64x32: 560 272
:geoo/sandstone/64x32: 624 272
:geoo/sandstone/64x32: 688 272
:geoo/sandstone/64x32: 752 272
:geoo/sandstone/64x32: 624 240
:geoo/sandstone/64x32: 688 240
:geoo/sandstone/64x32: 752 240
:geoo/sandstone/64x32: 816 240
:geoo/sandstone/64x64: 816 272
:geoo/sandstone/64x64: 816 336
:geoo/sandstone/32x32: 464 0
:geoo/sandstone/32x32: 448 32
:geoo/sandstone/32x32: 464 64
:geoo/sandstone/32x32: 480 96
:geoo/sandstone/32x32: 496 128
:geoo/sandstone/32x32: 608 0
:geoo/sandstone/32x32: 592 32
:geoo/sandstone/32x32: 608 64
:geoo/sandstone/32x32: 624 96
:geoo/sandstone/32x32: 640 128
:geoo/sandstone/32x32: 752 0
:geoo/sandstone/32x32: 736 32
:geoo/sandstone/32x32: 752 64
:geoo/sandstone/32x32: 768 96
:geoo/sandstone/32x32: 784 128
:geoo/sandstone/32x32: 176 0
:geoo/sandstone/32x32: 160 32
:geoo/sandstone/32x32: 176 64
:geoo/sandstone/32x32: 192 96
:geoo/sandstone/32x32: 208 128
:geoo/sandstone/32x32: 320 0
:geoo/sandstone/32x32: 304 32
:geoo/sandstone/32x32: 320 64
:geoo/sandstone/32x32: 336 96
:geoo/sandstone/32x32: 352 128
:geoo/sandstone/32x64: 32 144
:geoo/sandstone/32x64: 32 80
