$FILENAME single/misc/mobius/nothingcansurvivethis.txt
:geoo/construction/platformbrick: 352 334
:geoo/construction/platformbrick: 256 332
:geoo/construction/platformbrick: 288 332
:geoo/construction/platformbrick: 320 332
:geoo/construction/platformbrick: 352 332
:geoo/construction/platformbrick: 512 334
:geoo/construction/platformbrick: 544 334
:geoo/construction/platformbrick: 576 334
:geoo/construction/platformbrick: 608 334
:geoo/construction/platformbrick: 512 332
:geoo/construction/platformbrick: 544 332
:geoo/construction/platformbrick: 576 332
:geoo/construction/platformbrick: 608 332
:geoo/construction/platformbrick: 512 330
:geoo/construction/platformbrick: 544 330
:geoo/construction/platformbrick: 576 330
:geoo/construction/platformbrick: 608 330
:geoo/construction/platformbrick: 512 328
:geoo/construction/platformbrick: 544 328
:geoo/construction/platformbrick: 576 328
:geoo/construction/platformbrick: 608 328
:geoo/construction/wall/big_brick1: 0 0
:geoo/construction/wall/big_brick1: 64 0
:geoo/construction/wall/big_brick1: 128 0
:geoo/construction/wall/big_brick1: 192 0
:geoo/construction/wall/big_brick1: 256 0
:geoo/construction/wall/big_brick1: 320 0
:geoo/construction/wall/big_brick1: 384 0
:geoo/construction/wall/big_brick1: 448 0
:geoo/construction/wall/big_brick1: 512 0
:geoo/construction/wall/big_brick1: 576 0
:geoo/construction/wall/big_brickdiag_bu: 160 32
:geoo/construction/wall/big_brickdiag_bd: 96 32
:geoo/construction/wall/big_brickdiag_bu: 352 32
:geoo/construction/wall/big_brickdiag_bd: 288 32
:geoo/construction/wall/big_brickdiag_bu: 544 32
:geoo/construction/wall/big_brickdiag_bd: 480 32
