$FILENAME single/lemforum/Vicious/endeavor.txt
:geoo/steel/32x32o.S: 864 -16
:geoo/steel/16x16o.S: 896 192
:geoo/steel/16x16o.S: 896 176
:geoo/steel/16x16o.S: 896 160
:geoo/steel/16x16o.S: 896 144
:geoo/steel/16x16o.S: 896 128
:geoo/steel/16x16o.S: 896 112
:geoo/steel/16x16o.S: 896 96
:geoo/steel/16x16o.S: 896 80
:geoo/steel/16x16o.S: 896 64
:geoo/steel/16x16o.S: 896 48
:geoo/steel/16x16o.S: 896 32
:geoo/steel/16x16o.S: 896 16
:geoo/steel/16x16o.S: 896 0
:geoo/sandstone/arc_big: 384 324
:geoo/sandstone/pillar_top: 512 280
:geoo/sandstone/pillar_top_ext: 496 264
:geoo/sandstone/pillar_top_ext: 560 264
:geoo/sandstone/pillar_top: 576 280
:geoo/sandstone/pillar_top: 512 280
:geoo/sandstone/pillar_top: 576 280
:geoo/steel/32x32o.S: 32 368
:geoo/steel/32x32o.S: 64 368
:geoo/sandstone/arc_big: 160 324
:geoo/steel/32x32o.S: 240 272
:geoo/steel/32x32o.S: 400 272
:geoo/steel/32x32o.S: 240 240
:geoo/steel/32x32o.S: 400 240
:geoo/sandstone/16x16: 144 324
:geoo/sandstone/slopes/32x32rb: 768 336
:geoo/sandstone/64x16: 160 384
:geoo/sandstone/64x16: 224 384
:geoo/sandstone/64x16: 384 384
:geoo/sandstone/64x16: 448 384
:geoo/sandstone/slopes/32x32rb: 672 336
:geoo/sandstone/slopes/32x32rb: 640 368
:geoo/sandstone/32x32: 672 368
:geoo/sandstone/slopes/32x32rb: 704 304
:geoo/steel/32x32o.S: 736 304
:geoo/sandstone/slopes/32x32rb: 736 272
:geoo/sandstone/32x32: 768 272
:geoo/sandstone/32x32: 768 304
:geoo/sandstone/32x16: 96 64
:geoo/sandstone/pillar_32: 512 312
:geoo/sandstone/pillar_32: 512 344
:geoo/sandstone/pillar_32: 512 376
:geoo/sandstone/pillar_32: 576 312
:geoo/sandstone/pillar_32: 576 344
:geoo/sandstone/pillar_32: 576 376
:geoo/sandstone/pillar_32: 544 296
:geoo/sandstone/pillar_32: 544 328
:geoo/sandstone/pillar_32: 544 360
:geoo/sandstone/pillar_32: 544 392
