$FILENAME single/clam/Humane/pillarity-ensues.txt
:geoo/sandstone/pillar_32: 288 176
:geoo/sandstone/pillar_32: 288 208
:geoo/sandstone/pillar_32: 288 240
:geoo/sandstone/pillar_32: 288 272
:geoo/sandstone/pillar_32: 288 304
:geoo/sandstone/pillar_32: 592 16
:geoo/sandstone/pillar_32: 592 48
:geoo/sandstone/pillar_32: 592 80
:geoo/sandstone/pillar_32: 592 112
:geoo/sandstone/pillar_32: 592 144
:geoo/sandstone/pillar_32: 592 176
:geoo/sandstone/pillar_32: 592 208
:geoo/sandstone/pillar_32: 592 240
:geoo/sandstone/pillar_32: 592 272
:geoo/sandstone/pillar_32: 592 304
:geoo/sandstone/pillar_32: 592 320
:geoo/sandstone/pillar_32: 240 320
:geoo/sandstone/pillar_32: 192 336
:geoo/sandstone/pillar_32: 288 336
:geoo/sandstone/pillar_32: 16 352
:geoo/sandstone/pillar_32: 192 368
:geoo/sandstone/pillar_32: 240 352
:geoo/sandstone/pillar_32: 288 368
:geoo/sandstone/pillar_32: 336 352
:geoo/sandstone/pillar_32: 592 352
:geoo/sandstone/pillar_32: 496 256
:geoo/sandstone/pillar_top_ext: 480 256
:geoo/sandstone/pillar_32: 496 288
:geoo/sandstone/pillar_32: 496 320
:geoo/sandstone/pillar_32: 496 352
:geoo/sandstone/pillar_bottom_ext: 480 384
:geoo/sandstone/pillar_32: 384 336
:geoo/sandstone/pillar_32: 384 368
:geoo/sandstone/pillar_32: 448 336
:geoo/sandstone/pillar_32: 448 368
:geoo/sandstone/pillar_32: 544 176
:geoo/sandstone/pillar_top_ext: 528 160
:geoo/sandstone/pillar_32: 544 208
:geoo/sandstone/pillar_32: 544 240
:geoo/sandstone/pillar_32: 544 272
:geoo/sandstone/pillar_32: 544 304
:geoo/sandstone/pillar_32: 544 336
:geoo/sandstone/pillar_32: 544 368
:geoo/sandstone/pillar_top_ext: 368 336
:geoo/sandstone/pillar_top_ext: 432 336
:geoo/sandstone/pillar_32: 384 96
:geoo/sandstone/pillar_32: 448 96
:geoo/sandstone/pillar_top_shaded: 16 16
:geoo/sandstone/pillar_top_shaded: 16 240
$BEGIN_TILE_GROUP 0
:geoo/sandstone/pillar_top_shaded: 0 0
:geoo/sandstone/pillar_32: 0 16 d
$END_TILE_GROUP
:Group-0: 80 352
:geoo/sandstone/pillar_bottom_ext: 64 384
:geoo/sandstone/pillar_top_shaded: 192 160
:geoo/sandstone/pillar_top_shaded: 240 192
:geoo/sandstone/pillar_top_shaded: 288 48
:geoo/sandstone/pillar_top_shaded: 336 16
:geoo/sandstone/pillar_top_shaded: 384 80
:geoo/sandstone/pillar_top_shaded: 448 80
:geoo/sandstone/pillar_top_shaded: 496 16
:geoo/sandstone/pillar_top_shaded: 592 16
:geoo/sandstone/pillar_top_shaded: 544 176
:geoo/sandstone/pillar_top_shaded: 496 272
:geoo/sandstone/pillar_top_shaded: 448 352
:geoo/sandstone/pillar_top_shaded: 384 352
:geoo/sandstone/pillar_bottom: 16 176
:geoo/sandstone/pillar_bottom: 16 352
:geoo/sandstone/pillar_top_ext: 128 336
:Group-0: 144 352
:geoo/sandstone/pillar_bottom_ext: 128 384
:geoo/sandstone/pillar_bottom: 240 352
:geoo/sandstone/pillar_bottom: 336 352
:geoo/sandstone/pillar_bottom: 384 288
:geoo/sandstone/pillar_bottom: 448 288
:geoo/sandstone/pillar_bottom: 496 208
:geoo/sandstone/pillar_bottom: 496 352
:geoo/sandstone/pillar_bottom: 592 352
